Sample,Group,Date,Day,Fungi_Est,Acet_Est,Azoxystrobin,Propiconazole,Pyraclostrobin,NO3.NO2,SiO2,SRP,Total.N,Total.P,N/P,Chlorophyll.a,Phaophytin.a,C/P ratio,afdm,AI,green (µg/cm²),diatom (µg/cm²),cyano (µg/cm²),P/D,Sum BT
b8,3,7/24/2024,7,0.01,0.01,,,,,10.09,,230,7.1,32.3943662,2,0.5,0.25,0.9092,454.6,0,0.94,0.47,2,3.41
c5,3,7/24/2024,7,0.01,0.01,,,,,9.7,0.8,231,7.8,29.61538462,1.7,0.5,0.294117647,1.2648,744,0,1.28,0.5,2.56,4.34
b3,4,7/24/2024,7,0.1,0.1,,,,,9.47,1.2,244,6.6,36.96969697,1.8,0.3,0.166666667,0.8154,453,0,1.23,0.48,2.5625,4.2725
b9,4,7/24/2024,7,0.1,0.1,,,,,10.6,0.9,206,6.3,32.6984127,1.6,0.3,0.1875,0.6127,382.9375,0,1.16,0.5,2.32,3.98
c6,4,7/24/2024,7,0.1,0.1,,,,2.5,9.46,3.2,188,5.9,31.86440678,2,0.4,0.2,0.8487,424.35,0,0.53,0.29,1.827586207,2.647586207
b4,5,7/24/2024,7,1,1,,,,,9.38,0.9,223,8.3,26.86746988,1.5,0.3,0.2,0.6641,442.7333333,0,1.88,0.44,4.272727273,6.592727273
c1,5,7/24/2024,7,1,1,,,,,9.38,0.8,223,7.7,28.96103896,1.9,0.3,0.157894737,0.8896,468.2105263,0,1.55,0.52,2.980769231,5.050769231
c7,5,7/24/2024,7,1,1,,,,,9.8,2.3,210,8.2,25.6097561,1.8,0.3,0.166666667,0.77,427.7777778,0,1.95,0.44,4.431818182,6.821818182
b5,6,7/24/2024,7,10,10,,,,2.3,10.05,1.1,589,9.2,64.02173913,1.8,0.3,0.166666667,0.8366,464.7777778,0,1.27,0.52,2.442307692,4.232307692
c2,6,7/24/2024,7,10,10,,,,2.4,9.41,2.6,381,6.1,62.45901639,2.3,0.4,0.173913043,1.0499,456.4782609,0,1.29,0.54,2.388888889,4.218888889
c8,6,7/24/2024,7,10,10,,,,6.2,9.69,0.8,239,6.8,35.14705882,1.8,0.3,0.166666667,0.7595,421.9444444,0,0.92,0.54,1.703703704,3.163703704
b6,7,7/24/2024,7,100,100,,,,2,9.69,1.2,234,7.4,31.62162162,1.5,0.2,0.133333333,0.6657,443.8,0,1.47,0.6,2.45,4.52
c3,7,7/24/2024,7,100,100,,,,2.4,9.7,1.9,209,5.8,36.03448276,1.9,0.3,0.157894737,0.879,462.6315789,0,2.02,0.57,3.543859649,6.133859649
c9,7,7/24/2024,7,100,100,,,,6.7,10.25,2.7,285,14.1,20.21276596,1.1,0.2,0.181818182,0.764,694.5454545,0,1.63,0.62,2.629032258,4.879032258
a1,1,7/27/2024,10,0,0,0.0097,,,2.1,8.96,1.3,432,10.7,40.37383178,1,0.3,0.3,0.4266,426.6,0,0.69,0.27,2.555555556,3.515555556
a2,1,7/27/2024,10,0,0,,,,,9.78,0.8,296,6.7,44.17910448,1.5,0.5,0.333333333,0.5764,384.2666667,0,0.94,0.33,2.848484848,4.118484848
a3,1,7/27/2024,10,0,0,,,,4.5,9.08,3.1,228,6.7,34.02985075,0.7,0.2,0.285714286,0.3162,451.7142857,0,0.75,0.23,3.260869565,4.240869565
b1,2,7/27/2024,10,0,100,0.01,,,3.7,10.84,4.7,250,5.9,42.37288136,1.3,0.5,0.384615385,1.6233,1248.692308,0,0.59,0.19,3.105263158,3.885263158
b7,2,7/27/2024,10,0,100,,,,1.9,10.47,1,224,5.6,40,1.5,0.5,0.333333333,1.348,898.6666667,0,0.92,0.41,2.243902439,3.573902439
c4,2,7/27/2024,10,0,100,,,,,10.92,0.9,267,7,38.14285714,1.4,0.5,0.357142857,1.059,756.4285714,0,0.77,0.44,1.75,2.96
b2,3,7/27/2024,10,0.01,0.01,0.026,,,2.2,10.64,1.5,278,5.6,49.64285714,1.4,0.4,0.285714286,1.1831,845.0714286,0,1.29,0.54,2.388888889,4.218888889
b8,3,7/27/2024,10,0.01,0.01,0.087,,,,10.63,1.2,312,6.5,48,1.4,0.4,0.285714286,0.6762,483,0,1.06,0.48,2.208333333,3.748333333
c5,3,7/27/2024,10,0.01,0.01,,,,,8.88,0.9,275,7.8,35.25641026,1.3,0.4,0.307692308,1.0303,792.5384615,0,0.79,0.43,1.837209302,3.057209302
b3,4,7/27/2024,10,0.1,0.1,0.14,,,2.9,10.4,5.2,304,6.4,47.5,1.4,0.4,0.285714286,1.0408,743.4285714,0,0.97,0.49,1.979591837,3.439591837
b9,4,7/27/2024,10,0.1,0.1,0.26,,,,11.07,0.8,238,7.5,31.73333333,2.1,0.6,0.285714286,1.0666,507.9047619,0,1.2,0.47,2.553191489,4.223191489
c6,4,7/27/2024,10,0.1,0.1,,,,2.1,10.08,3.7,216,6,36,1.8,0.5,0.277777778,1.3343,741.2777778,0,1.01,0.42,2.404761905,3.834761905
b4,5,7/27/2024,10,1,1,1,,0.0048,2.2,10.25,1.9,304,6.7,45.37313433,2.2,0.8,0.363636364,1.8638,847.1818182,0,1.34,0.51,2.62745098,4.47745098
c1,5,7/27/2024,10,1,1,,,,,10.16,2.9,219,4.8,45.625,1.6,0.4,0.25,0.8699,543.6875,0,1.19,0.5,2.38,4.07
c7,5,7/27/2024,10,1,1,1.4,0.011,0.018,2.2,10.16,3.8,328,9.4,34.89361702,1.1,0.2,0.181818182,0.4902,445.6363636,0,1.32,0.59,2.237288136,4.147288136
b5,6,7/27/2024,10,10,10,140,0.61,0.43,3.2,10.32,5.5,314,6.9,45.50724638,1.3,0.4,0.307692308,1.1331,871.6153846,0,0.97,0.53,1.830188679,3.330188679
c2,6,7/27/2024,10,10,10,,,,,9.86,0.8,232,6.1,38.03278689,1.1,0.2,0.181818182,1.0938,994.3636364,,,,,
c8,6,7/27/2024,10,10,10,16,0.085,0.13,,10.05,1.2,222,5.8,38.27586207,1.9,0.5,0.263157895,1.3207,695.1052632,0,1.11,0.6,1.85,3.56
b6,7,7/27/2024,10,100,100,14,0.077,0.085,,10.17,1.4,280,7.6,36.84210526,1.3,0.5,0.384615385,1.5023,1155.615385,0,1.62,0.42,3.857142857,5.897142857
c3,7,7/27/2024,10,100,100,0.69,0.011,0.032,1.6,9.84,3.6,202,5.9,34.23728814,1.1,0.3,0.272727273,1.5703,1427.545455,0,1.95,0.43,4.534883721,6.914883721
c9,7,7/27/2024,10,100,100,210,0.99,1.2,4.2,11.26,3.1,325,17,19.11764706,1.5,0.4,0.266666667,1.0121,674.7333333,0,1.11,0.6,1.85,3.56
